Daffy Panda Ganging Up,26699340,89475,112,"8,888",103
3D Punk,26651620,297057,111,301,180
Crypto Dunnys by Kidrobot,26458354,52492,356,392,243
Invictus Owls,25738882,521030,44,24,10
Elfin Binance Limited NFT PACK,25514691,0,6,0,3
Dragons Watch Heroes,25530470,0,177,133,65
Turtles,25426264,10420600,8,1,1
Celebrity Card Game,25056579,3579,"1,545","11,801","3,542"
SolDads,25009440,0,222,33,32
Koalas,24801028,0,574,11,7
Vampires Of SOL,24801028,0,648,140,79
SolanaDogeNFTs,24801028,0,50,44,29
Melos AI Music X D ? Power,24683170,2386,"2,220","20,000","3,184"
Sol Vikings,24488410,104206,235,80,54
SOLYETIS,24071586,0,122,34,30
419 Acid Monkees,23967380,0,484,0,0
Coollamas,23758968,521030,28,25,10
Genopets / Terraform Seed,23550556,0,"2,166",213,115
Drakos Unchained ¢â,23550556,104206,177,22,19
SOLIZENS,23446350,0,58,0,0
The Fracture: SOLgods Prestige Collection,23342144,694637196,26,2,1
Lucky Doge Club,23270658,143160,144,0,641
Genesis Dragon Kart NFT,23261114,10737,67,"10,267",40
Doodled Dragons [RUG],22925320,0,978,228,131
Investor Whale,22716908,208412,62,19,6
Solana Souls,22300084,0,124,63,37
BunnyPark Mystery Box Series,22284047,31018,232,"10,000","1,470"
Arithmetic,22195878,0,314,39,19
Metaversol,21987466,0,152,29,22
"""Raider Tyga"" from DeHorizon Metaverse",21700670,14316,494,"6,000","1,537"
Futures Grand Tournament,21638634,44141,305,"2,424","1,315"
Tigers Deluxe,21212733,208775,97,501,283
Helios Aurory,21049612,0,511,112,77
Cozy Corners,20945406,0,67,0,0
Lucky Duckies Originals,20495740,4772,"1,078","25,000","6,157"
Duck BRO,20424376,0,944,100,72
Richard Orlinski,20432511,237407,61,586,328
888 Anon Club¢â,20424376,0,86,0,0
Moolah Monkeys,20320170,0,"1,150",425,204
VOGUE SG MYSTERY BOX,20154542,3579,777,"40,000","7,538"
Non Friendly Types,20007552,104206,94,17,10
Solbunny NFT Series,19799140,0,230,185,22
Gapes on Sol,19799140,0,"2,700",434,228
Fate/Origin BOX,19713132,65615,128,"1,440",252
Xpansion Game,19700009,3579,"3,258","3,000",173
Solana Droid Business,19486522,625236,72,5,3
CyberPunks,19382316,0,"1,272",308,53
Bitmon World,19382316,208412,120,3,2
CyberCat,19192984,17895,120,"19,756",159
Galactic Snake Society,19173904,0,"1,041",309,180
Relics Lab,19069698,4689270,72,1,1
DeFi Warrior Unique NFT,18752767,81124,102,"1,500",235
